entity_id,reldesc,reltype,relatedEntityId
88,"Direct Lobbying",Lobbying,18476
88,"Direct Lobbying",Lobbying,14642
88,"Direct Lobbying",Lobbying,15750
88,"Direct Lobbying",Lobbying,17683
88,"Direct Lobbying",Lobbying,14711
88,"Direct Lobbying",Lobbying,15552
88,"Direct Lobbying",Lobbying,15447
88,"Lobbying Client",Transaction,21794
88,"Lobbying Client",Transaction,20338
88,"Lobbying Client",Transaction,21801
88,"Lobbying Client",Transaction,20319
88,"Lobbying Client",Transaction,21803
88,"Lobbying Client",Transaction,21037
88,"Lobbying Client",Transaction,18436
88,"Lobbying Client",Transaction,18438
88,"Lobbying Client",Transaction,15902
88,"Lobbying Client",Transaction,17311
88,"Lobbying Client",Transaction,21809
88,"Lobbying Client",Transaction,21812
88,"Lobbying Client",Transaction,21813
88,"Lobbying Client",Transaction,16168
88,"Lobbying Client",Transaction,21816
88,"Lobbying Client",Transaction,15520
88,"Lobbying Client",Transaction,17120
88,"Lobbying Client",Transaction,21822
88,"Lobbying Client",Transaction,16418
88,"Lobbying Client",Transaction,15643
88,"Lobbying Client",Transaction,18179
88,"Lobbying Client",Transaction,21826
88,"Lobbying Client",Transaction,15527
88,"Lobbying Client",Transaction,35009
88,"Lobbying Client",Transaction,17431
88,"Lobbying Client",Transaction,21831
88,"Lobbying Client",Transaction,19559
88,"Lobbying Client",Transaction,20714
88,"Lobbying Client",Transaction,18474
88,Contractor,Transaction,22425
88,Contractor,Transaction,14762
88,Contractor,Transaction,14719
88,Contractor,Transaction,14728
88,Contractor,Transaction,14695
88,Contractor,Transaction,14665
88,Donation,Donation,36885
88,"Full member",Membership,44998
88,"Member Organization",Membership,93474
88,"President's Circle Member",Membership,126961
88,"Campaign Contribution",Donation,13284
88,"Corporate Council Member",Membership,130457
88,"Supporter ",Membership,33359
88,Donation,Donation,33171
88,Member,Membership,136751
88,Partner,Membership,143940
88,Client,Transaction,21559
88,Donation,Donation,33307
88,"Lobbying client",Transaction,20258
88,Shareholder,Ownership,51623
477,"Lobbying Client",Transaction,20190
477,Contractor,Transaction,14615
477,Shareholder,Ownership,45975
477,Shareholder,Ownership,58452
477,Shareholder,Ownership,58454
477,Shareholder,Ownership,58456
477,"Institutional investor",Ownership,58698
477,"partner company",Membership,37068
477,"Institutional investor",Ownership,79129
477,"Institutional investor",Ownership,66835
477,"$72.9M Stake",Ownership,818
477,"Institutional investor",Ownership,33
477,"Institutional investor",Ownership,118838
477,Shareholder,Ownership,439
477,"Institutional investor",Ownership,87754
477,"Institutional investor",Ownership,855
477,"Institutional investor",Ownership,12
477,"Institutional investor",Ownership,174
477,"Institutional investor",Ownership,464
477,"Institutional investor",Ownership,17
477,"Institutional investor",Ownership,875
477,"Institutional investor",Ownership,69355
477,"Institutional investor",Ownership,526
477,"Institutional investor",Ownership,83484
477,"Institutional investor",Ownership,525
477,"Institutional investor",Ownership,461
477,"Institutional investor",Ownership,119230
477,Investor,Ownership,102608
477,"Institutional investor",Ownership,934
477,"Institutional investor",Ownership,308
477,NULL,Ownership,118950
477,investor,Ownership,155894
477,Client,Transaction,115390
477,"Institutional investor",Ownership,508
477,Owner,Ownership,201867
477,Owner,Ownership,331
477,Owner,Ownership,90964
477,Owner,Ownership,733
477,Owner,Ownership,281
477,"+5% interest",Ownership,2
477,"+5% shares",Ownership,2
477,Investor,Ownership,217658
477,Owner,Ownership,215322
477,Shareholder,Ownership,228027
477,"Institutional investor",Ownership,102897
497,"Lobbying Client",Transaction,23746
497,"Lobbying Client",Transaction,15654
497,Donation,Donation,183407
629,"Lobbying Client",Transaction,15460
629,"Lobbying Client",Transaction,15495
629,"Lobbying Client",Transaction,16201
629,"partner company",Membership,37068
629,"PR client",Transaction,37089
629,"""premium"" corporate member",Membership,33271
12908,NULL,Hierarchy,12885
14611,NULL,Hierarchy,78792
14622,NULL,Hierarchy,14617
14648,NULL,Hierarchy,14635
14685,NULL,Hierarchy,14635
14931,Donation,Donation,33171
14931,"student ID debit cards",Transaction,129486
14931,"credit cards",Transaction,52067
14950,"Child Organization",Ownership,103881
14950,Partner,Ownership,103883
14950,"credit cards",Transaction,52067
14950,parent,Hierarchy,216805
15105,"Parent Organization",Ownership,93213
15105,investor,Transaction,38093
15575,NULL,Hierarchy,78793
21791,NULL,Membership,94784
21791,NULL,Hierarchy,116540
28485,"law firm",Transaction,9
28485,"legal advisor",Transaction,433
28485,NULL,Donation,102193
28485,"campaign law firm",Transaction,15108
28778,"Voting Member",Position,28778
28778,"Executive Assistant to the Co-Chairman",Position,28778
28778,Donation,Donation,30090
33171,Grant,Donation,35269
33290,NULL,Donation,78291
33342,NULL,Hierarchy,14730
33342,"Awarded ""Making a Difference Award""",Transaction,194897
33541,Grant,Donation,83063
33541,NULL,Hierarchy,14938
33692,NULL,Membership,139722
33692,Donation,Donation,139759
33692,Donation,Donation,164308
33692,Donation,Donation,164578
33692,Donation,Donation,34903
33692,Donation,Donation,43374
33692,Donation,Donation,164759
33692,partnership,Transaction,164807
33692,Donation,Donation,33834
33692,Member,Membership,202386
33692,"lobbying client",Transaction,253314
