ECRef,RegulatedEntityName,RegulatedEntityType,Value,AcceptedDate,AccountingUnitName,DonorName,AccountingUnitsAsCentralParty,IsSponsorship,DonorStatus,RegulatedDoneeType,CompanyRegistrationNumber,Postcode,DonationType,NatureOfDonation,PurposeOfVisit,DonationAction,ReceivedDate,ReportedDate,IsReportedPrePoll,ReportingPeriodName,IsBequest,IsAggregation,RegulatedEntityId,AccountingUnitId,DonorId,CampaigningName,RegisterName,IsIrishSource
C0011593,Liberal Democrats,Political Party,"£18,967.35",14/10/2005,Central Party,Bloomberg Tradebook Europe Ltd - Sponsorship,False,True,Company,,03556095,EC2A 1PQ,Cash,,,,22/09/2005,30/01/2006,False,Q4 2005,False,False,90,,11593,,Great Britain,False
C0010182,Conservative and Unionist Party,Political Party,"£30,000.00",15/05/2005,Central Party,AGCP Ltd,False,False,Company,,04811765,BR2 9QQ,Cash,,,,15/05/2005,29/07/2005,False,Q2 2005,False,False,52,,10182,,Great Britain,False
C0008962,Conservative and Unionist Party,Political Party,"£50,000.00",09/03/2005,Central Party,Moore Europe Capital Management Ltd,False,False,Company,,03144922,EC2Y 8HQ,Cash,,,,09/03/2005,27/04/2005,False,Q1 2005,False,False,52,,8962,,Great Britain,False
C0008765,Conservative and Unionist Party,Political Party,"£50,000.00",27/01/2005,Central Party,Fidelity Investment Management,False,False,Company,,02349713,TN11 9DZ,Cash,,,,27/01/2005,27/04/2005,False,Q1 2005,False,False,52,,8765,,Great Britain,False
C0008135,Conservative and Unionist Party,Political Party,"£100,000.00",10/11/2004,Central Party,Wittington Investments Ltd,False,False,Company,,00366054,SW1X 7LQ,Cash,,,,10/11/2004,27/01/2005,False,Q4 2004,False,False,52,,8135,,Great Britain,False
C0008130,Conservative and Unionist Party,Political Party,"£50,000.00",03/11/2004,Central Party,Fidelity Investment Management,False,False,Company,,02349713,TN11 9DZ,Cash,,,,03/11/2004,27/01/2005,False,Q4 2004,False,False,52,,8130,,Great Britain,False
C0007034,Conservative and Unionist Party,Political Party,"£50,000.00",02/07/2004,Central Party,Fidelity Investment Management,False,False,Company,,02349713,TN11 9DZ,Cash,,,,02/07/2004,28/10/2004,False,Q3 2004,False,False,52,,7034,,Great Britain,False
C0006511,Conservative and Unionist Party,Political Party,"£50,500.00",23/04/2004,Central Party,Fidelity Investment Management,False,False,Company,,02349713,TN11 9DZ,Cash,,,,23/04/2004,28/07/2004,False,Q2 2004,False,False,52,,6511,,Great Britain,False
C0005488,Liberal Democrats,Political Party,"£16,156.00",17/10/2003,Central Party,Bloomberg UK Ltd - Sponsorship,False,True,Company,,03430322,EC2R 7EP,Cash,,,,19/09/2003,02/02/2004,False,Q4 2003,False,False,90,,5488,,Great Britain,False
C0001841,Labour Party,Political Party,"£17,625.00",31/08/2001,Central Party,Bloomberg UK Ltd,False,False,Company,,03430322,EC2R 7EP,Cash,,,,31/08/2001,30/10/2001,False,Q3 2001,False,False,53,,1841,,Great Britain,False
C0001520,Labour Party,Political Party,"£17,582.00",30/06/2001,Central Party,Political Animal Lobby Ltd,True,False,Company,,02565899,W1M 7HD,Cash,,,,30/06/2001,31/07/2001,False,Q2 2001,False,False,53,,1520,,Great Britain,False
NC0027507,Labour Party,Political Party,"£6,007.00",29/05/2001,Central Party,Bloomberg UK Ltd,False,False,Company,,03430322,EC2R 7EP,Non Cash,Sponsorship,,,29/05/2001,31/07/2001,False,Q2 2001,False,False,53,,27507,,Great Britain,False
NC0027508,Labour Party,Political Party,"£5,541.00",29/05/2001,Central Party,Bloomberg UK Ltd,False,False,Company,,03430322,EC2R 7EP,Non Cash,Sponsorship,,,29/05/2001,31/07/2001,False,Q2 2001,False,False,53,,27508,,Great Britain,False
C0001111,Conservative and Unionist Party,Political Party,"£2,000.00",15/05/2001,Tiverton & Honiton,Graphic PLC,False,False,Company,,01036230,EX17 1UB,Cash,,,,15/05/2001,31/07/2001,False,Q2 2001,False,False,52,1653,1111,,Great Britain,False
C0001519,Labour Party,Political Party,"£30,000.00",20/04/2001,Central Party,Political Animal Lobby Ltd,False,False,Company,,02565899,W1M 7HD,Cash,,,,20/04/2001,31/07/2001,False,Q2 2001,False,False,53,,1519,,Great Britain,False
C0319876,Conservative and Unionist Party,Political Party,"£50,000.00",,Central Party,Naya Capital Management UK Limited,False,False,Company,,07775443,W1U 8AT,Cash,,,,01/06/2017,13/06/2017,,Pre-Poll 5 - Party(31/05/17 - 06/06/17) UKPGE 2017,False,False,52,,78112,,Great Britain,False
C0243570,The In Campaign Ltd,Permitted Participant,"£20,000.00",,,Cain Hoy Enterprises (U.K.) Limited,False,False,Company,,08904731,W1K 4LR,Cash,,,,14/06/2016,29/06/2016,,Pre-poll 4 (10/06/2016 - 22/06/2016) for the Referendum on the UK’s membership of the EU,False,False,3942,,74579,,,False
C0242432,The In Campaign Ltd,Permitted Participant,"£250,000.00",,,Bloomberg Tradebook Europe Ltd,False,False,Company,,03556095,EC2A 1PQ,Cash,,,,19/04/2016,28/04/2016,,Pre-poll 1 (01/02/2016 - 21/04/2016) for the Referendum on the UK’s membership of the EU,False,False,3942,,74160,,,False
